,author,author_id
0,J.K. Rowling,-7231496022189490415
1,J.K. Rowling,-7231496022189490415
2,J.K. Rowling,-7231496022189490415
3,J.K. Rowling,-7231496022189490415
4,J.K. Rowling,-7231496022189490415
5,W. Frederick Zimmerman,977643230026184745
6,J.K. Rowling,-7231496022189490415
7,Douglas Adams,2124749463266512826
8,Douglas Adams,2124749463266512826
9,Douglas Adams,2124749463266512826
10,Douglas Adams,2124749463266512826
11,Douglas Adams,2124749463266512826
12,Bill Bryson,6575532081622169050
13,Bill Bryson,6575532081622169050
14,Bill Bryson,6575532081622169050
15,Bill Bryson,6575532081622169050
16,Bill Bryson,6575532081622169050
17,Bill Bryson,6575532081622169050
18,Bill Bryson,6575532081622169050
19,Bill Bryson,6575532081622169050
20,Bill Bryson,6575532081622169050
21,J.R.R. Tolkien,2220166108019312501
22,J.R.R. Tolkien,2220166108019312501
23,J.R.R. Tolkien,2220166108019312501
24,J.R.R. Tolkien,2220166108019312501
25,Chris   Smith,-7020460455077932166
26,Jude Fisher,-6597007398280807029
27,Dave Thomas,-4022359513016461762
28,Gary Paulsen,6213843027477834418
29,Donna Ickes,6818965247789805768
30,Gary Paulsen,6213843027477834418
31,Molly Hatchet,3240388229705260135
32,Dale Peck,5099989674043442717
33,Angela Knight,-3681198784247758491
34,Delia Sherman,1188032291711663160
35,Patricia A. McKillip,8005139961081533838
36,Zilpha Keatley Snyder,-3669076912399391855
37,Kate Horsley,6418960953798633947
38,Philippa Carr,2564807681874912249
39,Edward P. Jones,-7227531330907444690
40,Edward P. Jones,-7227531330907444690
41,Edward P. Jones,-7227531330907444690
42,Satyajit Das,-7056864890386180541
43,Mark Smylie,-821672228468816640
44,John McPhee,-3856854722690525624
45,John McPhee,-3856854722690525624
46,John McPhee,-3856854722690525624
47,John McPhee,-3856854722690525624
48,John McPhee,-3856854722690525624
49,John McPhee,-3856854722690525624
50,John McPhee,-3856854722690525624
51,John McPhee,-3856854722690525624
52,John McPhee,-3856854722690525624
53,Wendy Wasserstein,8895262497524309186
54,Wendy Wasserstein,8895262497524309186
55,Heidi Hayes Jacobs,-1879757213545613695
56,Heidi Boyd,3111811959086657073
57,Heidi Baker,-1813974574976813354
58,Heidi Hayes Jacobs,-1879757213545613695
59,Johanna Spyri,8135806853690311928
60,Heidi Hayes Jacobs,-1879757213545613695
61,Rolland Baker,5819857057700483991
62,Heidi Murkoff,-1116129384174834334
63,Heidi Fleiss,-2731094852850781893
64,Heidi Boyd,3111811959086657073
65,Frank Herbert,6594680308900839862
66,Frank Herbert,6594680308900839862
67,Frank Herbert,6594680308900839862
68,Brian Herbert,-6219429949221763257
69,Frank Herbert,6594680308900839862
70,Frank Herbert,6594680308900839862
71,Frank Herbert,6594680308900839862
72,Gary Russell,6717507867194363383
73,Bryce Courtenay,1215268994008058718
74,Bryce Courtenay,1215268994008058718
75,John C. Maxwell,-4151682192006968595
76,Dave Lakhani,-5167172326590485070
77,Louis E. Catron,-2735672949193481810
78,Adam Ginsberg,-6613482037460162191
79,Marsha Collier,373410658931860830
80,Chris Malta,-1876006318320523379
81,Marsha Collier,373410658931860830
82,Julia Wilkinson,-2001056400836880438
83,Marsha Collier,373410658931860830
84,Marsha Collier,373410658931860830
85,Lucas Carlson,3217832984156701632
86,Ruby Ann Boxcar,8526752697883838576
87,Ruby Ann Boxcar,8526752697883838576
88,Rob Orsini,6990471265961715485
89,Leo Tolstoy,-9152604888080968644
90,Leo Tolstoy,-9152604888080968644
91,Leo Tolstoy,-9152604888080968644
92,Marianne Sturman,7104229219814430306
93,Leo Tolstoy,-9152604888080968644
94,Leo Tolstoy,-9152604888080968644
95,Leo Tolstoy,-9152604888080968644
96,Gloria Goldreich,7355670623792450466
97,Anthony Thorlby,5824469335042109055
98,Mulk Raj Anand,5063743639293500287
99,John Banville,-1739027940422884176
100,Eliot Ness,1482893376030419328
101,Narendra Jadhav,-3634928673927402236
102,V.T. Rajshekar,-3953225107357185187
103,Vasant Moon,2245991618302932116
104,Barry R. Cournoyer,-2736196879121945481
105,John Carratello,-8422691741965654670
106,George Smoot,1723899579224929912
107,Madeleine L'Engle,-8806103555560170351
108,Tara MacCarthy,-5384950375511891547
109,Madeleine L'Engle,-8806103555560170351
110,Cynthia Harrod-Eagles,-3864571073230419076
111,Charles Todd,-6007500735208726625
112,Ewan McGregor,-8118206914956370463
113,Daniel Abraham,7138998753519441162
114,Charles Willeford,3356293867889981263
115,Charles Willeford,3356293867889981263
116,Charles Willeford,3356293867889981263
117,Charles Willeford,3356293867889981263
118,Tom Wolfe,5337331526468606044
119,Edward Lear,-3466113843805550625
120,Quentin Blake,813834465105457199
121,Henry Miller,-3443547789915671572
122,Henry Miller,-3443547789915671572
123,Henry Miller,-3443547789915671572
124,Henry Miller,-3443547789915671572
125,Henry Miller,-3443547789915671572
126,Henry Miller,-3443547789915671572
127,Henry Miller,-3443547789915671572
128,Henry James,6889214837684509542
129,Henry James,6889214837684509542
130,Marguerite Duras,3079250098075648470
131,Marguerite Duras,3079250098075648470
132,Marguerite Duras,3079250098075648470
133,Kahlil Gibran,5620220872028721467
134,Jean Gibran,8060261575527005488
135,Kahlil Gibran,5620220872028721467
136,Kahlil Gibran,5620220872028721467
137,Kahlil Gibran,5620220872028721467
138,Kahlil Gibran,5620220872028721467
139,Robert Louis Stevenson,-5127738763128746916
140,Robert Louis Stevenson,-5127738763128746916
141,Robert Louis Stevenson,-5127738763128746916
142,Robert Louis Stevenson,-5127738763128746916
143,Robert Louis Stevenson,-5127738763128746916
144,Deidre S. Laiken,4988672364768766017
145,Ralph Ginzburg,-5708769225005784738
146,Gabriel García Márquez,4568644548845534114
147,Dr. Seuss,9112125919781936251
148,Debbie Raleigh,-4242383910509402464
149,Kevin Henkes,-7014492650664368560
150,Patrick Süskind,3860353226600729011
151,Robert A. Heinlein,-6248978720354263463
152,Robert A. Heinlein,-6248978720354263463
153,Robert A. Heinlein,-6248978720354263463
154,Robert A. Heinlein,-6248978720354263463
155,Robert A. Heinlein,-6248978720354263463
156,Douglas Adams,2124749463266512826
157,Douglas Adams,2124749463266512826
158,Nick  Webb,-366945416352426869
159,Terry Jones,-6718586056288975307
