author;author_id
"J.K. Rowling";20314212,00
W. Frederick Zimmerman;19375999,00
Douglas Adams;38561071,00
Bill Bryson;49159929,00
J.R.R. Tolkien;21781802,00
Chris   Smith;6053991,00
Jude Fisher;79727841,00
Dave Thomas;97241863,00
Gary Paulsen;33065898,00
Donna Ickes;49104171,00
Molly Hatchet;52802973,00
Dale Peck;98169460,00
Angela Knight;62386975,00
Delia Sherman;10353768,00
Patricia A. McKillip;99446927,00
Zilpha Keatley Snyder;15822020,00
Kate Horsley;67127081,00
Philippa Carr;81761600,00
Edward P. Jones;48836902,00
Satyajit Das;11348531,00
Mark Smylie;73493193,00
John McPhee;22190507,00
Wendy Wasserstein;73561126,00
Heidi Hayes Jacobs;18761586,00
Heidi Boyd;17050084,00
Heidi Baker;80717244,00
Johanna Spyri;67131853,00
Rolland Baker;91917883,00
Heidi Murkoff;87250377,00
Heidi Fleiss;98525599,00
Frank Herbert;4630770,00
Brian Herbert;74819298,00
Gary Russell;23278721,00
Bryce Courtenay;44943744,00
John C. Maxwell;54608502,00
Dave Lakhani;43513624,00
Louis E. Catron;53389430,00
Adam Ginsberg;40035729,00
Marsha Collier;38014469,00
Chris Malta;92095715,00
Julia Wilkinson;38087770,00
Lucas Carlson;44890434,00
Ruby Ann Boxcar;39682964,00
Rob Orsini;63228202,00
Leo Tolstoy;37283205,00
Marianne Sturman;51078830,00
Gloria Goldreich;30462645,00
Anthony Thorlby;55545258,00
Mulk Raj Anand;84499722,00
John Banville;66100017,00
Eliot Ness;32404725,00
Narendra Jadhav;98060454,00
V.T. Rajshekar;73842013,00
Vasant Moon;4696710,00
Barry R. Cournoyer;19412870,00
John Carratello;7363080,00
George Smoot;896853,00
Madeleine L'Engle;22575753,00
Tara MacCarthy;5507543,00
Cynthia Harrod-Eagles;10115538,00
Charles Todd;3047990,00
Ewan McGregor;70213836,00
Daniel Abraham;31281752,00
Charles Willeford;51437291,00
Tom Wolfe;39137340,00
Edward Lear;75136523,00
Quentin Blake;72763526,00
Henry Miller;38848019,00
Henry James;78411294,00
Marguerite Duras;76624847,00
Kahlil Gibran;13093895,00
Jean Gibran;12795704,00
Robert Louis Stevenson;55884222,00
Deidre S. Laiken;52244542,00
Ralph Ginzburg;64936909,00
Gabriel García Márquez;62094222,00
Dr. Seuss;58820619,00
Debbie Raleigh;19971560,00
Kevin Henkes;29321743,00
Patrick Süskind;84729774,00
Robert A. Heinlein;31485525,00
Nick  Webb;15317994,00
Terry Jones;75078438,00
Susan Nanus;36017632,00
Harry G. Frankfurt;4790547,00
Nick Flynn;17482870,00
Garry Wills;26505802,00
Abraham Lincoln;61844633,00
Don DeLillo;50384858,00
Thomas Pynchon;33207775,00
Richard Fariña;50645330,00
Joan Didion;53263200,00
Paul Auster;67074638,00
Peter Moon;25502207,00
Jared Diamond;62550954,00
Stephen Leeb;94121224,00
Joseph A. Tainter;59301462,00
Robert D. Putnam;88271472,00
Philip K. Howard;13105707,00
Joy Harjo;82084161,00
Nikola Tesla;961425,00
Marc J.  Seifer;15348910,00
Carol Dommermuth-Costa;85788624,00
Julie Elizabeth Leto;18326657,00
Maureen Kelly;6281580,00
William Golding;6590239,00
Victor Davis Hanson;60040017,00
Ephraim Sevela;36801523,00
Alice Sebold;43886787,00
Sharyn McCrumb;89689983,00
Dave Shea;28506655,00
Elizabeth Castro;92193094,00
Michael Ochs;42159643,00
Chuck Klosterman;54985604,00
Jane Feather;40211362,00
Robert M. Pirsig;26134456,00
Kevin O'Malley;68940758,00
Ronald L. DiSanto;67591000,00
John Harold Haynes;23612999,00
Catharine M. Fishel;1012898,00
Ayn Rand;82940137,00
J.J. Isler;40901409,00
Colin  Wells;15813981,00
Billy Collins;23111033,00
Christopher Caswell;79555083,00
Kevin Trudeau;66440263,00
Bernard Malamud;72446286,00
Anne Tyler;76880900,00
Gary Colombo;90424176,00
Thomas E. Skidmore;71842081,00
Philip Roth;95230452,00
Jon   Stewart;63189202,00
Brian Greene;35235028,00
Upasika Kee Nanayon;74413772,00
Rob Humphreys;55355820,00
Lonely Planet;16712472,00
H.G. Bissinger;83171822,00
Neal Stephenson;50059284,00
Dan Harrington;89889651,00
Donald A. Norman;84651990,00
Alex C. Jones;98836475,00
Paulo Coelho;34502646,00
Hiromu Arakawa;85138370,00
Robert   Harris;63445187,00
Edward Bulwer-Lytton;22159659,00
John Steinbeck;57208698,00
Neil Strauss;10846504,00
Ellen Raskin;28237248,00
Arthur Golden;98742499,00
David        James;69165631,00
Mineko Iwasaki;25494284,00
J. Torres;24674986,00
Margaret Johnson;92569302,00
Gary Chapman;43028489,00
Dan Brown;6107639,00
P.J. Parrish;16745118,00
Thomas J. Stanley;48270564,00
Napoleon Hill;58920360,00
Mike   Mason;19186363,00
Riki Anne Wilchins;25178733,00
Donald J. Trump;27059181,00
George S. Clason;32762588,00
Trevanian;69891059,00
David McCullough;9854231,00
Peter  Stone;33979546,00
Robert J. Allison;39862556,00
Pearl S. Buck;26627732,00
Rick Warren;13617927,00
Eric Schlosser;12803278,00
Lisa See;82323913,00
John Grisham;77918721,00
Robert A. Caro;12348410,00
Stephen W. Frey;42829208,00
Bill Phillips;96442387,00
Pamela Peeke;81481820,00
Robert G. Hagstrom;57701539,00
Robert P. Miles;54976627,00
Marvin N. Olasky;13740318,00
Barbara Park;3845890,00
Sarah Mlynowski;62129164,00
Michael   Lewis;68524900,00
Frank McConnell;68578262,00
Ursula Ferrigno;83886867,00
Giada De Laurentiis;65671055,00
Tyler Florence;52195597,00
Steven D. Levitt;68665378,00
Barry Eisler;21334798,00
Yann Martel;5186200,00
Robert Templer;29383674,00
James Frey;45832432,00
Python Bonkers;38301465,00
James Pinocchio;16352700,00
James M. Kouzes;84001206,00
Donald T. Phillips;76621654,00
Gary Yukl;39418497,00
Rudolph W. Giuliani;9264620,00
John Gray;32758961,00
Ron  Louis;83739073,00
Jean M. Auel;1021531,00
Doug Walsh;3110749,00
Robert Greene;27925990,00
Steven Pressfield;4276869,00
Margaret Weis;56256506,00
Thomas Harlan;9558724,00
Stephen J. Rosen;6800603,00
David J. Danelo;42386782,00
Plato;54693884,00
Josef Pieper;99503104,00
Herodotus;97032660,00
Homer;55779937,00
Virgil;55137987,00
Ed Roberson;80196541,00
Paul  Kirk;10392524,00
William Shakespeare;98055289,00
Reduced Shakespeare Company;645581,00
Carla Lynn Stockton;80112793,00
Giorgio De Santillana;10654473,00
Thucydides;21887946,00
Cynthia W. Shelmerdine;18383084,00
Euripides;47933937,00
Anne Carson;1983916,00
Wole Soyinka;13926732,00
William Allan;95589732,00
Robert J. Milch;30872952,00
Aeschylus;56167267,00
Simon Goldhill;12711420,00
Sophocles;7432117,00
Aristophanes;3820966,00
W. John Campbell;53975255,00
Douglas M. MacDowell;68259895,00
Andrea Wilson Nightingale;3690375,00
Mark Haddon;31500976,00
George Pelecanos;39430891,00
Annie Proulx;76640630,00
David    Allen;32090836,00
Geoffrey M. Bellman;20795080,00
Ricardo Piglia;14156144,00
Karen  O'Connor;55932712,00
Ernesto Sabato;83036499,00
Augustine of Hippo;81962570,00
Peter R.L. Brown;80807397,00
Henry Chadwick;32352987,00
Anthony Bourdain;1167532,00
Ovid;19909449,00
Norma Goldman;7030345,00
Michael C.J. Putnam;61065566,00
Charles Segal;28031832,00
Richard Johnsonbaugh;62819029,00
Daniel Pinchbeck;37980127,00
Jon Ronson;4656107,00
Daniel Duane;93604965,00
Jon Krakauer;72870624,00
John Eldredge;4552091,00
Jung Chang;63000653,00
Nelson DeMille;19134731,00
Catherine Coulter;63216083,00
Jack London;31058474,00
Judy Sierra;80852047,00
Charles P. Rubenstein;87869803,00
Barbara Ehrenreich;63785209,00
Michel Foucault;55831165,00
Sue Birtwistle;14789417,00
Jane Austen;88355196,00
David  Roberts;11301792,00
Valerian Albanov;88312197,00
Thomas L. Friedman;55363575,00
David McClung;78250945,00
Arthur J. Roth;99699680,00
Louisa May Alcott;50653222,00
Charles Dickens;7336350,00
SparkNotes;87113856,00
James B. Stewart;24335338,00
Julia Golding;43026593,00
Daniel Pool;63159458,00
Jane Smiley;28681700,00
Colleen Sexton;1201348,00
Philip Nel;32839929,00
Sean O'Brien;62539103,00
Radcliffe G. Edmonds III;29584586,00
Paul Anthony Cartledge;31992212,00
Raymond Chandler;92096689,00
Paul Murray;94222254,00
Patti   Davis;50904265,00
Masaki Yamada;59426984,00
Daniel C. Dennett;7863925,00
Nicholas Humphrey;34373700,00
Douglas R. Hofstadter;12651906,00
Stephen Hawking;50912263,00
David Filkin;16192339,00
John Boslough;13384830,00
Lawrence M. Krauss;91448636,00
Phillip Glasier;5236909,00
Timothy Ferris;1965932,00
Nancy L. Mace;79591803,00
Jorge Cruise;10019045,00
Thom Hartmann;72673829,00
Michael Cunningham;55475340,00
Malcolm Gladwell;64064055,00
Ted Dekker;19241520,00
Mark Hoppus;89077501,00
Karen Joy Fowler;87251620,00
Kim Wilson;52436084,00
Ernest Hemingway;53871220,00
Jeanne Sallade Criswell;58184344,00
Julian Barnes;82215738,00
Gustave Flaubert;12256248,00
Jean-Paul Sartre;83793843,00
Jeffrey Eugenides;40929480,00
Doris Kearns Goodwin;84156590,00
Thomas May;42107984,00
Abigail Adams;92152633,00
Joseph J. Ellis;44791055,00
John  Adams;41207642,00
Ruth Westheimer;52025599,00
Jennifer Watson;64606945,00
David D. Burns;91177319,00
Elisabeth Kübler-Ross;48908284,00
Lynne Ann DeSpelder;20563206,00
Mark Shepard;68974159,00
Stephen R. Covey;57713664,00
Dan Millman;40530728,00
Lance Armstrong;93478993,00
John Wilcockson;33489395,00
Truman Capote;81944919,00
Margaret Truman;49246351,00
Steven Johnson;69316267,00
Temple Grandin;13780576,00
Iris Fry;11007029,00
Edith Wharton;66631318,00
Ruth S. Noel;74677228,00
E.V. Gordon;53995079,00
Sarah M.  Anderson;31677710,00
Jeffery Deaver;97689676,00
Paul Yee;95084991,00
Herman Melville;96761003,00
Jan Needle;67908651,00
Michael J. Davey;37622268,00
Geraldine McCaughrean;26797810,00
Edward F. Edinger;34802048,00
Julian Markels;84521650,00
Elizabeth A. Schultz;18659670,00
Steve Martini;80458898,00
Terry Pratchett;70679637,00
Mark Twain;98362424,00
Susan  Griffith;7534391,00
Theocritus;26605234,00
Hesiod;81163937,00
H.G. Wells;83378724,00
Joseph McMoneagle;7076569,00
Umberto Eco;27176192,00
Henri J.M. Nouwen;73647912,00
Timothy B. Tyson;26695409,00
José Saramago;96354447,00
Jack Kerouac;75037999,00
Mark Stevens;32702345,00
Julie Sylvester;95344140,00
David  Allen;19872488,00
Sun Tzu;82090741,00
Al Ries;14845188,00
Seth Godin;48612429,00
Clayton M. Christensen;45984915,00
Erasmus;32561503,00
Harper Lee;3313359,00
David H. Chilton;31820301,00
Jonathan Swift;46573355,00
Xavier de C.;58712562,00
Geoffrey Chaucer;45929000,00
Helen  Cooper;83224588,00
Mark Kurlansky;68929184,00
Deloris Jordan;70502223,00
Monique Truong;53596767,00
Abdul Rahman Munif;41164930,00
Kim Stanley Robinson;80623443,00
Walter Benjamin;61735529,00
Saul Steinberg;27118515,00
Philip Dutre;54076008,00
David Guterson;63025987,00
Dave Pelzer;96036189,00
William S. Pollack;79122823,00
Douglas Coupland;40180680,00
Jean Aitchison;57182370,00
Ernest Becker;86278077,00
Howard Zinn;58057116,00
Richard Hollis;7759689,00
Lisa Lowe;25333930,00
Jonathan Hale;97262010,00
David Bodanis;72356177,00
Rolland Hein;74042958,00
Friedrich Nietzsche;48561529,00
Alastair Lamb;93169034,00
Katherine Paterson;3244358,00
Emil M. Cioran;20046888,00
Tanya Huff;1332226,00
Tracy Chevalier;52476716,00
Rosalind Laker;19107200,00
Tom Hunter;96073372,00
Tite Kubo;91527927,00
Tsugumi Ohba;66814918,00
Valerie Parv;28610178,00
Mike  Rowe;37552286,00
Daniel Defoe;26178089,00
James Hilton;71791592,00
Nancy Friday;48098386,00
Frances Hodgson Burnett;26262197,00
Martha Hailey DuBose;12747561,00
Ann Thwaite;65391461,00
Amy Cotler;61689732,00
Thomas Sowell;63567581,00
Selina Shirley Hastings;19899264,00
Alcoholics Anonymous;68044312,00
Overeaters Anonymous;91143143,00
Kimon Nicolaides;53423522,00
Andrew Weil;29494825,00
Lawrence M. Lasher;39973892,00
Matthew Barber;65186250,00
Elizabeth von Arnim;47213974,00
E.M. Forster;30720123,00
Lionel Trilling;11710705,00
P.N. Furbank;57754765,00
Robert Hellenga;48574635,00
Gordon S. Wood;60796893,00
Gordon Korman;12592789,00
Deborah  Gordon;14823591,00
Ivo Andrić;65113965,00
Jean Estoril;65316256,00
Aristotle;74911976,00
David Grene;49303790,00
Alan Brennert;68757251,00
Eric Jensen;15836228,00
Angus Gellatly;86796554,00
Isabel Allende;41298831,00
Open City Magazine;68819231,00
Wallace Stegner;81085608,00
Steve Krug;26819454,00
Louis de Bernières;8107579,00
Faïza Guène;65798029,00
Lawrence Otis Graham;82096175,00
Otis Williams;75131131,00
Colleen McCullough;63338685,00
Jill Colella;51686917,00
Mitch Albom;63945552,00
Tim O'Brien;33586074,00
Nicholas Sparks;23652771,00
Gwyn Hyman Rubio;33771567,00
Lori Avocato;61561166,00
Marisha Pessl;8168884,00
Lois Beckwith;3903626,00
Janet Evanovich;10542960,00
Jayne Ann Krentz;73497802,00
Sarah Ban Breathnach;93815633,00
Marjorie Weinman Sharmat;72019250,00
George E. Stanley;52315540,00
Kaho Miyasaka;1574214,00
Fulton J. Sheen;64727016,00
George MacDonald;26139449,00
Ivan Turgenev;23798621,00
Jane Moore;68824842,00
Amanda Clark;74767666,00
Justin   O'Brien;43177902,00
Antonio Gramsci;40364487,00
L.M. Montgomery;82272412,00
Arthur Conan Doyle;34286500,00
E.J. Wagner;30015192,00
Nick Rennison;12909347,00
NOT A BOOK;22903253,00
Eric Tyson;10405209,00
Clare Naylor;23105343,00
Bruce H. Wilkinson;66504621,00
Lois Lowry;71398003,00
Bill Brittain;35497297,00
Jack Weatherford;24226792,00
Claire Messud;38028701,00
Zadie Smith;15861891,00
Libba Bray;20033370,00
Kym Douglas;93319326,00
Anna Sewell;34204494,00
Ann Patchett;53547442,00
Norman Sherry;91147550,00
Graham Greene;87223546,00
Chuck Palahniuk;24902597,00
Helen Ericson;85390106,00
Maya Gold;99067342,00
Ian Fleming;60378308,00
Madeleine Brent;30825904,00
Noel Streatfeild;38172853,00
Rumer Godden;81364165,00
Anne Chisholm;63618476,00
Jonathan Franzen;12130847,00
Lisa Whelchel;32188882,00
P.D. James;46101552,00
Henri Blocher;24166667,00
Nina Bangs;79090146,00
Michael Jan Friedman;29248056,00
Miguel de Cervantes Saavedra;98604419,00
Vladimir Nabokov;64268229,00
J.A. Jance;35828884,00
Fern Michaels;36242169,00
Eric Klinenberg;56005457,00
Lora Leigh;74512277,00
Ruth Prawer Jhabvala;39838421,00
Sarah Macdonald;23660322,00
Joel Salatin;59258756,00
